CVE_ID,Device_Name,IP_Addresses,Operating_System,Risk_Score,Priority,Patch_Urgency_Days,Patch_Deadline,Status,User_ID,User_Name,Scan_Timestamp
CVE-2023-2033,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-2136,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-29360,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-29360,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-3079,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-32046,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-32046,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-32049,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-32049,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36025,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36025,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36025,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36033,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36033,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36036,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36036,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36036,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36563,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36563,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36584,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36584,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36802,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36802,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36874,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36874,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36884,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-36884,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
